"user_id";"username";"password";"first_name";"last_name";"phone";"role"
1;"s1";"123";"yu";"xia";"1234567890";"student"
2;"s2";"123";"yuki";"deng";"1234567890";"student"
3;"s3";"123";"eline";"dung";"1234567890";"student"
4;"t1";"123";"jawad";"manzoor";"1234567890";"teacher"
5;"a1";"123";"sam";"jemema";"1234567890";"admin"
6;"q";"123";"q";"q";"1";"student"
7;"s4";"123";"wang";"xinyan";"12345";"student"
8;"t2";"123";"mary";"young";"12323";"teacher"
9;"s5";"123";"w";"w";"123";"student"
10;"t3";"123";"amy";"j";"123";"teacher"
11;"s6";"123";"z";"z";"123";"student"
12;"t4";"123";"bob";"b";"123333";"teacher"
13;"s9";"123";"s";"s";"123";"student"
14;"t7";"123";"tt";"tt";"123";"teacher"
15;"s7";"123";"seven";"seven";"123";"student"
16;"t5";"123";"five";"five";"123";"teacher"
